scientificName,canonicalName,authorship,family
"Cricetodon bijugatus Mein & Freudenthal, 1971",Cricetodon bijugatus,"Mein & Freudenthal, 1971",Muridae
"Cricetodon caucasicus Argyropulo, 1938",Cricetodon caucasicus,"Argyropulo, 1938",Muridae
"Cricetodon collatum Schaub, 1925",Cricetodon collatum,"Schaub, 1925",Muridae
"Cricetodon decedens (Schaub, 1925)",Cricetodon decedens,"(Schaub, 1925) ",Muridae
"Cricetodon goklerensis Joniak et al., 2017",Cricetodon goklerensis,"Joniak et al., 2017",Muridae
"Cricetodon gregarius (Schaub, 1925)",Cricetodon gregarius,"(Schaub, 1925) ",Muridae
"Cricetodon jotae Mein & Freudenthal, 1971",Cricetodon jotae,"Mein & Freudenthal, 1971",Muridae
"Cricetodon jumaensis Rummel, 2001",Cricetodon jumaensis,"Rummel, 2001",Muridae
"Cricetodon kasapligili de Bruijn et al., 1993",Cricetodon kasapligili,"de Bruijn et al., 1993",Muridae
"Cricetodon lavocati (Freudenthal, 1966)",Cricetodon lavocati,"(Freudenthal, 1966) ",Muridae
"Cricetodon lusitanicus (Schaub, 1925)",Cricetodon lusitanicus,"(Schaub, 1925) ",Muridae
"Cricetodon meini Freudenthal, 1963",Cricetodon meini,"Freudenthal, 1963",Muridae
"Cricetodon minor Lartet, 1851",Cricetodon minor,"Lartet, 1851",Muridae
"Cricetodon nombrevillae (Freudenthal, 1966)",Cricetodon nombrevillae,"(Freudenthal, 1966) ",Muridae
"Cricetodon rhodanicus (Depéret, 1887)",Cricetodon rhodanicus,"(Depéret, 1887) ",Muridae
"Cricetodon sansaniensis Lartet, 1851",Cricetodon sansaniensis,"Lartet, 1851",Muridae
"Cricetodon schaubi Villalta & Crusafont, 1956",Cricetodon schaubi,"Villalta & Crusafont, 1956",Muridae
"Cricetodon schaubii Zdansky, 1930",Cricetodon schaubii,"Zdansky, 1930",Muridae
"Cricetodon tobieni de Bruijn et al., 1993",Cricetodon tobieni,"de Bruijn et al., 1993",Muridae
"Cricetodon versteegi de Bruijn et al., 1993",Cricetodon versteegi,"de Bruijn et al., 1993",Muridae
Deperetomys hagni,Deperetomys hagni,,Muridae
"Cricetops auster Li et al., 2016",Cricetops auster,"Li et al., 2016",Muridae
"Cricetops caducus Shevyreva, 1967",Cricetops caducus,"Shevyreva, 1967",Muridae
"Cricetops dormitor Matthew & Granger, 1923",Cricetops dormitor,"Matthew & Granger, 1923",Muridae
"Cricetops minor Wang, 1987",Cricetops minor,"Wang, 1987",Muridae
"Crossomys moncktoni Thomas, 1907",Crossomys moncktoni,"Thomas, 1907",Muridae
"Crunomys celebensis Musser, 1982",Crunomys celebensis,"Musser, 1982",Muridae
"Crunomys fallax Thomas, 1897",Crunomys fallax,"Thomas, 1897",Muridae
"Crunomys melanius Thomas, 1907",Crunomys melanius,"Thomas, 1907",Muridae
"Crunomys suncoides Rickart, Heaney, Tabaranza Jr. & Balete, 1998",Crunomys suncoides,"Rickart, Heaney, Tabaranza Jr. & Balete, 1998",Muridae
"Dacnomys miliardi Thomas, 1916",Dacnomys miliardi,"Thomas, 1916",Muridae
"Dacnomys millardi Thomas, 1916",Dacnomys millardi,"Thomas, 1916",Muridae
"Dankomys simpsoni Reig, 1978",Dankomys simpsoni,"Reig, 1978",Muridae
"Dankomys vorohuensis Reig, 1994",Dankomys vorohuensis,"Reig, 1994",Muridae
"Dasymys alleni Lawrence & Loveridge, 1953",Dasymys alleni,"Lawrence & Loveridge, 1953",Muridae
"Dasymys cabrali W.Verheyen, Hulselmans, Dierckx, Colyn, Leirs & E.Verheyen, 2003",Dasymys cabrali,"W.Verheyen, Hulselmans, Dierckx, Colyn, Leirs & E.Verheyen, 2003",Muridae
"Dasymys capensis Roberts, 1936",Dasymys capensis,"Roberts, 1936",Muridae
"Dasymys foxi Thomas, 1912",Dasymys foxi,"Thomas, 1912",Muridae
"Dasymys griseifrons Osgood, 1936",Dasymys griseifrons,"Osgood, 1936",Muridae
"Dasymys incomtus (Sundevall, 1847)",Dasymys incomtus,"(Sundevall, 1847) ",Muridae
"Dasymys longipilosus Eisentraut, 1963",Dasymys longipilosus,"Eisentraut, 1963",Muridae
"Dasymys montanus Thomas, 1906",Dasymys montanus,"Thomas, 1906",Muridae
"Dasymys nudipes (Peters, 1870)",Dasymys nudipes,"(Peters, 1870) ",Muridae
"Dasymys robertsii Mullin, P.J.Taylor & Pillay, 2004",Dasymys robertsii,"Mullin, P.J.Taylor & Pillay, 2004",Muridae
"Dasymys rufulus Miller, 1900",Dasymys rufulus,"Miller, 1900",Muridae
"Dasymys rwandae W.Verheyen, Hulselmans, Dierckx, Colyn, Leirs & E.Verheyen, 2003",Dasymys rwandae,"W.Verheyen, Hulselmans, Dierckx, Colyn, Leirs & E.Verheyen, 2003",Muridae
"Dasymys sua W.Verheyen, Hulselmans, Dierckx, Colyn, Leirs & E.Verheyen, 2003",Dasymys sua,"W.Verheyen, Hulselmans, Dierckx, Colyn, Leirs & E.Verheyen, 2003",Muridae
"Debruijnia kostakii de Bruijn, 2017",Debruijnia kostakii,"de Bruijn, 2017",Muridae
"Cricetodon minus (Lartet, 1851)",Cricetodon minus,"(Lartet, 1851) ",Muridae
"Democricetodon affinis Schaub, 1925",Democricetodon affinis,"Schaub, 1925",Muridae
Democricetodon brevis,Democricetodon brevis,,Muridae
"Democricetodon crassus Freudenthal, 1967",Democricetodon crassus,"Freudenthal, 1967",Muridae
"Democricetodon cretensis de Bruijn & Meulenkamp, 1972",Democricetodon cretensis,"de Bruijn & Meulenkamp, 1972",Muridae
"Democricetodon darocensis Freudenthal, 1963",Democricetodon darocensis,"Freudenthal, 1963",Muridae
"Democricetodon franconicus Fahlbusch, 1966",Democricetodon franconicus,"Fahlbusch, 1966",Muridae
"Democricetodon freisingensis Fahlbusch, 1964",Democricetodon freisingensis,"Fahlbusch, 1964",Muridae
"Democricetodon gaillardi Schaub, 1925",Democricetodon gaillardi,"Schaub, 1925",Muridae
Democricetodon gregarius,Democricetodon gregarius,,Muridae
"Democricetodon haltmari Joniak et al., 2017",Democricetodon haltmari,"Joniak et al., 2017",Muridae
"Democricetodon hispanicus Freudenthal, 1967",Democricetodon hispanicus,"Freudenthal, 1967",Muridae
"Democricetodon kaonou Mein & Ginsburg, 1997",Democricetodon kaonou,"Mein & Ginsburg, 1997",Muridae
"Democricetodon khani de Bruijn et al., 1981",Democricetodon khani,"de Bruijn et al., 1981",Muridae
"Democricetodon romieviensis Freudenthal, 1963",Democricetodon romieviensis,"Freudenthal, 1963",Muridae
"Democricetodon similis Fahlbusch, 1964",Democricetodon similis,"Fahlbusch, 1964",Muridae
"Democricetodon sulcatus Freudenthal, 1967",Democricetodon sulcatus,"Freudenthal, 1967",Muridae
"Democricetodon vindoboniensis Schaub & Zapfe, 1953",Democricetodon vindoboniensis,"Schaub & Zapfe, 1953",Muridae
"Deomys ferrugineus Thomas, 1888",Deomys ferrugineus,"Thomas, 1888",Muridae
"Deomys ferruginous Thomas, 1888",Deomys ferruginous,"Thomas, 1888",Muridae
"Deperetomys anatolicus de Bruijn et al., 1993",Deperetomys anatolicus,"de Bruijn et al., 1993",Muridae
"Deperetomys calefactus Markovi_, de Bruijn, van de Weerd & Wessels, 2019",Deperetomys calefactus,"Markovi_, de Bruijn, van de Weerd & Wessels, 2019",Muridae
"Deperetomys intermedia de Bruijn et al., 1987",Deperetomys intermedia,"de Bruijn et al., 1987",Muridae
"Deperetomys magnus de Bruijn et al., 2013",Deperetomys magnus,"de Bruijn et al., 2013",Muridae
"Deperetomys saltensis Markovi_, de Bruijn, van de Weerd & Wessels, 2019",Deperetomys saltensis,"Markovi_, de Bruijn, van de Weerd & Wessels, 2019",Muridae
"Dephomys defua (Miller, 1900)",Dephomys defua,"(Miller, 1900) ",Muridae
"Dephomys eburneae (Heim de Balsac & Bellier, 1967)",Dephomys eburneae,"(Heim de Balsac & Bellier, 1967) ",Muridae
"Desmodilliscus braueri Wettstein, 1916",Desmodilliscus braueri,"Wettstein, 1916",Muridae
"Desmodillus auricularis (A.Smith, 1834)",Desmodillus auricularis,"(A.Smith, 1834) ",Muridae
"Desmomys harringtoni (Thomas, 1902)",Desmomys harringtoni,"(Thomas, 1902) ",Muridae
"Desmomys yaldeni Lavrenchenko, 2003",Desmomys yaldeni,"Lavrenchenko, 2003",Muridae
"Diomys crumpi Thomas, 1917",Diomys crumpi,"Thomas, 1917",Muridae
"Diplothrix legata (Thomas, 1906)",Diplothrix legata,"(Thomas, 1906) ",Muridae
"Dipodillus bottai (Lataste, 1882)",Dipodillus bottai,"(Lataste, 1882) ",Muridae
"Dipodillus campestris (Levaillant, 1857)",Dipodillus campestris,"(Levaillant, 1857) ",Muridae
"Dipodillus dasyurus (Wagner, 1842)",Dipodillus dasyurus,"(Wagner, 1842) ",Muridae
"Dipodillus harwoodi (Thomas, 1901)",Dipodillus harwoodi,"(Thomas, 1901) ",Muridae
"Dipodillus jamesi (Harrison, 1967)",Dipodillus jamesi,"(Harrison, 1967) ",Muridae
"Dipodillus lowei (Thomas & Hinton, 1923)",Dipodillus lowei,"(Thomas & Hinton, 1923) ",Muridae
"Dipodillus mackilligini Thomas, 1904",Dipodillus mackilligini,"Thomas, 1904",Muridae
"Dipodillus maghrebi (Schlitter & Setzer, 1972)",Dipodillus maghrebi,"(Schlitter & Setzer, 1972) ",Muridae
"Dipodillus rupicola (Granjon, Aniskin, Volobouev & Sicard, 2002)",Dipodillus rupicola,"(Granjon, Aniskin, Volobouev & Sicard, 2002) ",Muridae
"Dipodillus simoni (Lataste, 1881)",Dipodillus simoni,"(Lataste, 1881) ",Muridae
"Dipodillus somalicus (Thomas, 1910)",Dipodillus somalicus,"(Thomas, 1910) ",Muridae
"Dipodillus stigmonyx (Heuglin, 1877)",Dipodillus stigmonyx,"(Heuglin, 1877) ",Muridae
"Dipodillus zakariai Cockrum, Vaughn & Vaughn, 1976",Dipodillus zakariai,"Cockrum, Vaughn & Vaughn, 1976",Muridae
"Dushimys larsi Zijlstra, 2012",Dushimys larsi,"Zijlstra, 2012",Muridae
"Echiothrix centrosa Miller & Hollister, 1921",Echiothrix centrosa,"Miller & Hollister, 1921",Muridae
"Echiothrix leucura Gray, 1867",Echiothrix leucura,"Gray, 1867",Muridae
"Edirnella kempeni de Bruijn et al., 2003",Edirnella kempeni,"de Bruijn et al., 2003",Muridae
"Edirnella sinani Unay-Bayraktar, 1989",Edirnella sinani,"Unay-Bayraktar, 1989",Muridae
"Enginia beckerplateni de Bruijn & von Koenigswald, 1994",Enginia beckerplateni,"de Bruijn & von Koenigswald, 1994",Muridae
"Enginia djanpolati de Bruijn & von Koenigswald, 1994",Enginia djanpolati,"de Bruijn & von Koenigswald, 1994",Muridae
"Enginia gertcheki de Bruijn & von Koenigswald, 1994",Enginia gertcheki,"de Bruijn & von Koenigswald, 1994",Muridae
"Leidymys vetus (Wood, 1937)",Leidymys vetus,"(Wood, 1937) ",Muridae
"Epimeriones austriacus Daxner-Höck, 1972",Epimeriones austriacus,"Daxner-Höck, 1972",Muridae
"Eropeplus canus Miller & Hollister, 1921",Eropeplus canus,"Miller & Hollister, 1921",Muridae
"Cricetodon dubius (Schaub, 1925)",Cricetodon dubius,"(Schaub, 1925) ",Muridae
"Eucricetodon aquitanicus Baudelot & de Bonis, 1968",Eucricetodon aquitanicus,"Baudelot & de Bonis, 1968",Muridae
"Eucricetodon atavoides Freudenthal, 1996",Eucricetodon atavoides,"Freudenthal, 1996",Muridae
"Eucricetodon bagus Gomes Rodrigues et al., 2012",Eucricetodon bagus,"Gomes Rodrigues et al., 2012",Muridae
"Eucricetodon caducus (Shevyreva, 1967)",Eucricetodon caducus,"(Shevyreva, 1967) ",Muridae
"Eucricetodon collatum (Schaub, 1925)",Eucricetodon collatum,"(Schaub, 1925) ",Muridae
"Eucricetodon deploratus Shevyreva, 1967",Eucricetodon deploratus,"Shevyreva, 1967",Muridae
"Eucricetodon gerandianus Gervais, 1848",Eucricetodon gerandianus,"Gervais, 1848",Muridae
"Eucricetodon haslachensis Schaub, 1925",Eucricetodon haslachensis,"Schaub, 1925",Muridae
"Eucricetodon hochheimensis Schaub, 1925",Eucricetodon hochheimensis,"Schaub, 1925",Muridae
"Eucricetodon huberi (Schaub, 1925)",Eucricetodon huberi,"(Schaub, 1925) ",Muridae
"Eucricetodon huerzeleri Vianey-Liaud, 1972",Eucricetodon huerzeleri,"Vianey-Liaud, 1972",Muridae
"Eucricetodon infralactorensis Viret, 1930",Eucricetodon infralactorensis,"Viret, 1930",Muridae
"Eucricetodon jilantaiensis Gomes Rodrigues et al., 2012",Eucricetodon jilantaiensis,"Gomes Rodrigues et al., 2012",Muridae
"Eucricetodon longidens Hugueney, 1969",Eucricetodon longidens,"Hugueney, 1969",Muridae
"Eucricetodon margaritae Daams et al., 1989",Eucricetodon margaritae,"Daams et al., 1989",Muridae
"Eucricetodon martinensis Freudenthal, 1994",Eucricetodon martinensis,"Freudenthal, 1994",Muridae
"Eucricetodon moguntiacus Bahlo, 1975",Eucricetodon moguntiacus,"Bahlo, 1975",Muridae
"Eucricetodon nanoides Freudenthal, 1996",Eucricetodon nanoides,"Freudenthal, 1996",Muridae
"Eucricetodon occasionalis Lopatin, 1996",Eucricetodon occasionalis,"Lopatin, 1996",Muridae
"Eucricetodon praecursor (Schaub, 1925)",Eucricetodon praecursor,"(Schaub, 1925) ",Muridae
"Eucricetodon quercyi Vianey-Liaud, 1972",Eucricetodon quercyi,"Vianey-Liaud, 1972",Muridae
"Eucricetodon thezelensis Comte, 2000",Eucricetodon thezelensis,"Comte, 2000",Muridae
"Eucricetodon wangae Li et al., 2016",Eucricetodon wangae,"Li et al., 2016",Muridae
"Eucricetodon youngi Li & Qiu, 1980",Eucricetodon youngi,"Li & Qiu, 1980",Muridae
"Eumys asiaticus (Matthew & Granger, 1923)",Eumys asiaticus,"(Matthew & Granger, 1923) ",Muridae
"Cotimus bifidus (Fahlbusch, 1964)",Cotimus bifidus,"(Fahlbusch, 1964) ",Muridae
"Eumyarion gordesensis Peláez-Campomanes, Gökta_, Kaya, Joniak, Bilgin, Mayda & van den Hoek Ostende, 2018",Eumyarion gordesensis,"Peláez-Campomanes, Gökta_, Kaya, Joniak, Bilgin, Mayda & van den Hoek Ostende, 2018",Muridae
"Eumyarion helveticus Schaub, 1925",Eumyarion helveticus,"Schaub, 1925",Muridae
"Eumyarion latior Schaub & Zapfe, 1953",Eumyarion latior,"Schaub & Zapfe, 1953",Muridae
"Eumyarion leemanni Hartenberger, 1966",Eumyarion leemanni,"Hartenberger, 1966",Muridae
"Eumyarion lukasi Joniak et al., 2017",Eumyarion lukasi,"Joniak et al., 2017",Muridae
"Eumyarion margueritae de Bruijn et al., 2013",Eumyarion margueritae,"de Bruijn et al., 2013",Muridae
"Eumyarion medius Lartet, 1851",Eumyarion medius,"Lartet, 1851",Muridae
"Eumyarion orhani de Bruijn et al., 2006",Eumyarion orhani,"de Bruijn et al., 2006",Muridae
"Eumyarion tremulus Lopatin, 1996",Eumyarion tremulus,"Lopatin, 1996",Muridae
"Eumyarion weinfurteri Schaub & Zapfe, 1953",Eumyarion weinfurteri,"Schaub & Zapfe, 1953",Muridae
"Eumys brachyodus Wood, 1937",Eumys brachyodus,"Wood, 1937",Muridae
"Eumys cricetodontoides White, 1954",Eumys cricetodontoides,"White, 1954",Muridae
"Eumys elegans Leidy, 1856",Eumys elegans,"Leidy, 1856",Muridae
"Eumys eliensis Black, 1961",Eumys eliensis,"Black, 1961",Muridae
"Eumys euryodus Korth, 2011",Eumys euryodus,"Korth, 2011",Muridae
"Eumys parvidens Wood, 1937",Eumys parvidens,"Wood, 1937",Muridae
"Eumysodon spurius Argyropulo, 1939",Eumysodon spurius,"Argyropulo, 1939",Muridae
"Extrarius orhuni Erten, 2017",Extrarius orhuni,"Erten, 2017",Muridae
"Fahlbuschia darocensis Freudenthal, 1963",Fahlbuschia darocensis,"Freudenthal, 1963",Muridae
"Fahlbuschia freudenthali Antunes & Mein, 1981",Fahlbuschia freudenthali,"Antunes & Mein, 1981",Muridae
"Fahlbuschia koenigswaldi Freudenthal, 1963",Fahlbuschia koenigswaldi,"Freudenthal, 1963",Muridae
"Fahlbuschia larteti Mein & Freudenthal, 1971",Fahlbuschia larteti,"Mein & Freudenthal, 1971",Muridae
"Galushamys redingtonensis Jacobs, 1977",Galushamys redingtonensis,"Jacobs, 1977",Muridae
"Gerbilliscus afer (Gray, 1830)",Gerbilliscus afer,"(Gray, 1830) ",Muridae
"Gerbilliscus afra (Gray, 1830)",Gerbilliscus afra,"(Gray, 1830) ",Muridae
"Gerbilliscus boehmi (Noack, 1887)",Gerbilliscus boehmi,"(Noack, 1887) ",Muridae
"Gerbilliscus brantsii (A.Smith, 1836)",Gerbilliscus brantsii,"(A.Smith, 1836) ",Muridae
"Gerbilliscus gambiana (Thomas, 1910)",Gerbilliscus gambiana,"(Thomas, 1910) ",Muridae
"Gerbilliscus guineae (Thomas, 1910)",Gerbilliscus guineae,"(Thomas, 1910) ",Muridae
"Gerbilliscus inclusus (Thomas & Wroughton, 1908)",Gerbilliscus inclusus,"(Thomas & Wroughton, 1908) ",Muridae
"Gerbilliscus kempii (Wroughton, 1906)",Gerbilliscus kempii,"(Wroughton, 1906) ",Muridae
"Gerbilliscus leucogaster (Peters, 1852)",Gerbilliscus leucogaster,"(Peters, 1852) ",Muridae
"Gerbilliscus nigricaudus (Peters, 1878)",Gerbilliscus nigricaudus,"(Peters, 1878) ",Muridae
"Gerbilliscus phillipsi (de Winton, 1898)",Gerbilliscus phillipsi,"(de Winton, 1898) ",Muridae
"Gerbilliscus robustus (Cretzschmar, 1826)",Gerbilliscus robustus,"(Cretzschmar, 1826) ",Muridae
"Gerbilliscus validus (Bocage, 1890)",Gerbilliscus validus,"(Bocage, 1890) ",Muridae
"Gerbilliscus vicinus Peters, 1878",Gerbilliscus vicinus,"Peters, 1878",Muridae
"Gerbillurus paeba (A.Smith, 1836)",Gerbillurus paeba,"(A.Smith, 1836) ",Muridae
"Gerbillurus setzeri (Schlitter, 1973)",Gerbillurus setzeri,"(Schlitter, 1973) ",Muridae
"Gerbillurus tytonis (Bauer & Niethammer, 1960)",Gerbillurus tytonis,"(Bauer & Niethammer, 1960) ",Muridae
"Gerbillurus vallinus (Thomas, 1918)",Gerbillurus vallinus,"(Thomas, 1918) ",Muridae
"Gerbillus acticola Thomas, 1918",Gerbillus acticola,"Thomas, 1918",Muridae
"Gerbillus agag Thomas, 1903",Gerbillus agag,"Thomas, 1903",Muridae
"Gerbillus amoenus (de Winton, 1902)",Gerbillus amoenus,"(de Winton, 1902) ",Muridae
"Gerbillus andersoni de Winton, 1902",Gerbillus andersoni,"de Winton, 1902",Muridae
"Gerbillus aquilus Schlitter & Setzer, 1972",Gerbillus aquilus,"Schlitter & Setzer, 1972",Muridae
"Gerbillus bibersoni Geraads, 1995",Gerbillus bibersoni,"Geraads, 1995",Muridae
"Gerbillus brockmani (Thomas, 1910)",Gerbillus brockmani,"(Thomas, 1910) ",Muridae
"Gerbillus burloni F.Cuvier, 1838",Gerbillus burloni,"F.Cuvier, 1838",Muridae
"Gerbillus burtoni F.Cuvier, 1838",Gerbillus burtoni,"F.Cuvier, 1838",Muridae
"Gerbillus cheesmani Thomas, 1919",Gerbillus cheesmani,"Thomas, 1919",Muridae
"Gerbillus dongolanus (Heuglin, 1877)",Gerbillus dongolanus,"(Heuglin, 1877) ",Muridae
"Gerbillus dunni Thomas, 1904",Gerbillus dunni,"Thomas, 1904",Muridae
"Gerbillus famulus Yerbury & Thomas, 1895",Gerbillus famulus,"Yerbury & Thomas, 1895",Muridae
"Gerbillus floweri Thomas, 1919",Gerbillus floweri,"Thomas, 1919",Muridae
"Gerbillus garamantis Lataste, 1881",Gerbillus garamantis,"Lataste, 1881",Muridae
"Gerbillus gerbillus (Olivier, 1800)",Gerbillus gerbillus,"(Olivier, 1800) ",Muridae
"Gerbillus gleadowi Murray, 1886",Gerbillus gleadowi,"Murray, 1886",Muridae
"Gerbillus grandis Tong, 1989",Gerbillus grandis,"Tong, 1989",Muridae
"Gerbillus grobbeni Klaptocz, 1909",Gerbillus grobbeni,"Klaptocz, 1909",Muridae
"Gerbillus henleyi (de Winton, 1903)",Gerbillus henleyi,"(de Winton, 1903) ",Muridae
"Gerbillus hesperinus Cabrera, 1936",Gerbillus hesperinus,"Cabrera, 1936",Muridae
"Gerbillus hoogstraali Lay, 1975",Gerbillus hoogstraali,"Lay, 1975",Muridae
"Gerbillus latastei Thomas & Trouessart, 1903",Gerbillus latastei,"Thomas & Trouessart, 1903",Muridae
"Gerbillus mauritaniae (Heim de Balsac, 1943)",Gerbillus mauritaniae,"(Heim de Balsac, 1943) ",Muridae
"Gerbillus mesopotamiae Harrison, 1956",Gerbillus mesopotamiae,"Harrison, 1956",Muridae
"Gerbillus muriculus (Thomas & Hinton, 1923)",Gerbillus muriculus,"(Thomas & Hinton, 1923) ",Muridae
"Gerbillus nancillus Thomas & Hinton, 1923",Gerbillus nancillus,"Thomas & Hinton, 1923",Muridae
"Gerbillus nanus Blanford, 1875",Gerbillus nanus,"Blanford, 1875",Muridae
"Gerbillus nigeriae Thomas & Hinton, 1920",Gerbillus nigeriae,"Thomas & Hinton, 1920",Muridae
"Gerbillus occiduus Lay, 1975",Gerbillus occiduus,"Lay, 1975",Muridae
"Gerbillus perpallidus Setzer, 1958",Gerbillus perpallidus,"Setzer, 1958",Muridae
"Gerbillus poecilops Yerbury & Thomas, 1895",Gerbillus poecilops,"Yerbury & Thomas, 1895",Muridae
"Gerbillus principulus (Thomas & Hinton, 1923)",Gerbillus principulus,"(Thomas & Hinton, 1923) ",Muridae
"Gerbillus pulvinatus Rhoads, 1896",Gerbillus pulvinatus,"Rhoads, 1896",Muridae
"Gerbillus pusillus Peters, 1878",Gerbillus pusillus,"Peters, 1878",Muridae
"Gerbillus pyramidum (_.Geoffroy, 1803)",Gerbillus pyramidum,"(_.Geoffroy, 1803) ",Muridae
"Gerbillus rosalinda St.Leger, 1929",Gerbillus rosalinda,"St.Leger, 1929",Muridae
"Gerbillus syrticus Misonne, 1974",Gerbillus syrticus,"Misonne, 1974",Muridae
"Gerbillus tarabuli Thomas, 1902",Gerbillus tarabuli,"Thomas, 1902",Muridae
"Gerbillus vanillus Thomas, 1918",Gerbillus vanillus,"Thomas, 1918",Muridae
"Gerbillus vivax (Thomas, 1902)",Gerbillus vivax,"(Thomas, 1902) ",Muridae
"Gerbillus watersi de Winton, 1901",Gerbillus watersi,"de Winton, 1901",Muridae
"Eumys gloveri (Macdonald, 1970)",Eumys gloveri,"(Macdonald, 1970) ",Muridae
"Paciculus mcgregori (Macdonald, 1970)",Paciculus mcgregori,"(Macdonald, 1970) ",Muridae
"Golunda aouraghei Piñero, Agustí, Haddoumi, El Hammouti, Chacon & Sala-Ramos, 2020",Golunda aouraghei,"Piñero, Agustí, Haddoumi, El Hammouti, Chacon & Sala-Ramos, 2020",Muridae
"Golunda ellioti Gray, 1837",Golunda ellioti,"Gray, 1837",Muridae
"Goniodontomys disjunctus (Wilson, 1937)",Goniodontomys disjunctus,"(Wilson, 1937) ",Muridae
"Gracilimus radix Rowe, Achmadi & Esselstyn, 2016",Gracilimus radix,"Rowe, Achmadi & Esselstyn, 2016",Muridae
"Grammomys aridulus Thomas & Hinton, 1923",Grammomys aridulus,"Thomas & Hinton, 1923",Muridae
"Grammomys brevirostris Kryštufek, 2008",Grammomys brevirostris,"Kryštufek, 2008",Muridae
"Grammomys buntingi (Thomas, 1911)",Grammomys buntingi,"(Thomas, 1911) ",Muridae
"Grammomys caniceps Hutterer & Dieterlen, 1984",Grammomys caniceps,"Hutterer & Dieterlen, 1984",Muridae
"Grammomys cometes (Thomas & Wroughton, 1908)",Grammomys cometes,"(Thomas & Wroughton, 1908) ",Muridae
"Grammomys dolichurus (Smuts, 1832)",Grammomys dolichurus,"(Smuts, 1832) ",Muridae
"Grammomys dryas (Thomas, 1907)",Grammomys dryas,"(Thomas, 1907) ",Muridae
"Grammomys gigas (Dollman, 1911)",Grammomys gigas,"(Dollman, 1911) ",Muridae
"Grammomys ibeanus (Osgood, 1910)",Grammomys ibeanus,"(Osgood, 1910) ",Muridae
"Grammomys kuru (Thomas & Wroughton, 1907)",Grammomys kuru,"(Thomas & Wroughton, 1907) ",Muridae
"Grammomys macmillani (Wroughton, 1907)",Grammomys macmillani,"(Wroughton, 1907) ",Muridae
"Grammomys minnae Hutterer & Dieterlen, 1984",Grammomys minnae,"Hutterer & Dieterlen, 1984",Muridae
"Grammomys poensis (Eisentraut, 1965)",Grammomys poensis,"(Eisentraut, 1965) ",Muridae
"Grammomys rutilons (Peters, 1876)",Grammomys rutilons,"(Peters, 1876) ",Muridae
"Grammomys selousi Denys, Lalis, Lecompte, Cornette, Moulin, Makundi, Machung'u, Volobouev & Aniskine, 2011",Grammomys selousi,"Denys, Lalis, Lecompte, Cornette, Moulin, Makundi, Machung'u, Volobouev & Aniskine, 2011",Muridae
"Guildayomys hibbardi Zakrzewski, 1984",Guildayomys hibbardi,"Zakrzewski, 1984",Muridae
"Guildayomys matthewsi Storer, 2004",Guildayomys matthewsi,"Storer, 2004",Muridae
"Hadromys humei (Thomas, 1886)",Hadromys humei,"(Thomas, 1886) ",Muridae
"Hadromys yunnanensis Yang & Wang, 1987",Hadromys yunnanensis,"Yang & Wang, 1987",Muridae
"Haeromys margarettae (Thomas, 1893)",Haeromys margarettae,"(Thomas, 1893) ",Muridae
"Haeromys minahassae (Thomas, 1896)",Haeromys minahassae,"(Thomas, 1896) ",Muridae
"Haeromys pusillus (Thomas, 1893)",Haeromys pusillus,"(Thomas, 1893) ",Muridae
"Halmaheramys bokimekot Fabre, Pagès, Musser, Fitriana, Semiadi & Helgen, 2013",Halmaheramys bokimekot,"Fabre, Pagès, Musser, Fitriana, Semiadi & Helgen, 2013",Muridae
"Hansdebruijnia erksinae Storch & Dahlmann, 1995",Hansdebruijnia erksinae,"Storch & Dahlmann, 1995",Muridae
"Hapalomys delacouri Thomas, 1927",Hapalomys delacouri,"Thomas, 1927",Muridae
"Hapalomys longicaudatus Blyth, 1859",Hapalomys longicaudatus,"Blyth, 1859",Muridae
"Hapalomys suntsovi Abramov, Balakirev & Rozhnov, 2017",Hapalomys suntsovi,"Abramov, Balakirev & Rozhnov, 2017",Muridae
"Hattomys beetsi Freudenthal, 1985",Hattomys beetsi,"Freudenthal, 1985",Muridae
"Hattomys gargantua Freudenthal, 1985",Hattomys gargantua,"Freudenthal, 1985",Muridae
"Hattomys nazarii Freudenthal, 1985",Hattomys nazarii,"Freudenthal, 1985",Muridae
"Heimyscus fumosus (Brosset, Dubost & Heim de Balsac, 1965)",Heimyscus fumosus,"(Brosset, Dubost & Heim de Balsac, 1965) ",Muridae
"Helgenema keablei Smales, 2020",Helgenema keablei,"Smales, 2020",Muridae
"Heramys eviensis Klein Hofmeijer & de Bruijn, 1985",Heramys eviensis,"Klein Hofmeijer & de Bruijn, 1985",Muridae
"Heterocricetodon gaimersheimensis Freudenberg, 1941",Heterocricetodon gaimersheimensis,"Freudenberg, 1941",Muridae
"Heterocricetodon hausi Engesser, 1987",Heterocricetodon hausi,"Engesser, 1987",Muridae
"Heterocricetodon helbingi Stehlin & Schaub, 1951",Heterocricetodon helbingi,"Stehlin & Schaub, 1951",Muridae
"Heterocricetodon landroveri (Daams et al., 1989)",Heterocricetodon landroveri,"(Daams et al., 1989) ",Muridae
"Heterocricetodon schlosseri Schaub, 1925",Heterocricetodon schlosseri,"Schaub, 1925",Muridae
