scientificName,canonicalName,authorship,family
"Nyctereutes procyonoides (Gray, 1834)",Nyctereutes procyonoides,"(Gray, 1834) ",Canidae
"Nyctereutes sinensis Schlosser, 1903",Nyctereutes sinensis,"Schlosser, 1903",Canidae
"Nyctereutes terblanchei Ficcarelli et al., 1984",Nyctereutes terblanchei,"Ficcarelli et al., 1984",Canidae
"Nyctereutes tingi Tedford & Qiu, 1991",Nyctereutes tingi,"Tedford & Qiu, 1991",Canidae
"Brachyrhynchocyon sesnoni (Macdonald, 1967)",Brachyrhynchocyon sesnoni,"(Macdonald, 1967) ",Canidae
"Canis brachypus (Cope, 1881)",Canis brachypus,"(Cope, 1881) ",Canidae
"Mesocyon iamonensis (Sellards, 1916)",Mesocyon iamonensis,"(Sellards, 1916) ",Canidae
"Osbornodon fricki Wang, 1994",Osbornodon fricki,"Wang, 1994",Canidae
"Osbornodon renjiei Wang, 1994",Osbornodon renjiei,"Wang, 1994",Canidae
"Osbornodon wangi Hayes, 2000",Osbornodon wangi,"Hayes, 2000",Canidae
"Tephrocyon scitulus (Hay, 1924)",Tephrocyon scitulus,"(Hay, 1924) ",Canidae
"Osteoborus orc Webb, 1969",Osteoborus orc,"Webb, 1969",Canidae
"Cynodesmus cooki (Macdonald, 1963)",Cynodesmus cooki,"(Macdonald, 1963) ",Canidae
"Otarocyon cuspidatus Green, 1954",Otarocyon cuspidatus,"Green, 1954",Canidae
"Otarocyon macdonaldi Wang et al., 1999",Otarocyon macdonaldi,"Wang et al., 1999",Canidae
"Otocyon megalotis (Desmarest, 1822)",Otocyon megalotis,"(Desmarest, 1822) ",Canidae
"Oxetocyon cuspidatus Green, 1954",Oxetocyon cuspidatus,"Green, 1954",Canidae
"Paracynarctus sinclairi Wang et al., 1999",Paracynarctus sinclairi,"Wang et al., 1999",Canidae
"Tephrocyon kelloggi (Merriam, 1911)",Tephrocyon kelloggi,"(Merriam, 1911) ",Canidae
"Mesocyon robustus (Matthew, 1907)",Mesocyon robustus,"(Matthew, 1907) ",Canidae
"Temnocyon josephi (Cope, 1881)",Temnocyon josephi,"(Cope, 1881) ",Canidae
"Temnocyon wallovianus (Cope, 1881)",Temnocyon wallovianus,"(Cope, 1881) ",Canidae
"Canis temerarius (Leidy, 1858)",Canis temerarius,"(Leidy, 1858) ",Canidae
"Cynodesmus euthos (McGrew, 1935)",Cynodesmus euthos,"(McGrew, 1935) ",Canidae
"Philotrox condoni Merriam, 1906",Philotrox condoni,"Merriam, 1906",Canidae
"Aletocyon multicuspus (Romer & Sutton, 1927)",Aletocyon multicuspus,"(Romer & Sutton, 1927) ",Canidae
"Cynodesmus minor (Matthew, 1907)",Cynodesmus minor,"(Matthew, 1907) ",Canidae
"Galecynus latidens (Cope, 1881)",Galecynus latidens,"(Cope, 1881) ",Canidae
"Nothocyon annectens (Peterson, 1907)",Nothocyon annectens,"(Peterson, 1907) ",Canidae
"Phlaocyon leucosteus Matthew, 1899",Phlaocyon leucosteus,"Matthew, 1899",Canidae
"Phlaocyon mariae Wang et al., 1999",Phlaocyon mariae,"Wang et al., 1999",Canidae
"Phlaocyon marslandensis McGrew, 1941",Phlaocyon marslandensis,"McGrew, 1941",Canidae
"Phlaocyon taylori Hayes, 2000",Phlaocyon taylori,"Hayes, 2000",Canidae
"Phlaocyon yatkolai Wang et al., 1999",Phlaocyon yatkolai,"Wang et al., 1999",Canidae
"Procynodictis vulpiceps Wortman & Matthew, 1899",Procynodictis vulpiceps,"Wortman & Matthew, 1899",Canidae
"Viverravus progressus (Stock, 1935)",Viverravus progressus,"(Stock, 1935) ",Canidae
"Hesperocyon wilsoni (Gustafson, 1986)",Hesperocyon wilsoni,"(Gustafson, 1986) ",Canidae
"Protepicyon raki Wang et al., 1999",Protepicyon raki,"Wang et al., 1999",Canidae
"Protocyon orcesi Hoffstetter, 1952",Protocyon orcesi,"Hoffstetter, 1952",Canidae
"Protocyon orocualensis Ruiz-Ramoni et al., 2022",Protocyon orocualensis,"Ruiz-Ramoni et al., 2022",Canidae
"Protocyon scagliarum Kraglievich, 1952",Protocyon scagliarum,"Kraglievich, 1952",Canidae
"Protocyon tarijensis Ameghino, 1902",Protocyon tarijensis,"Ameghino, 1902",Canidae
"Protocyon troglodytes (Lund, 1938)",Protocyon troglodytes,"(Lund, 1938) ",Canidae
"Tomarctus optatus (Matthew, 1924)",Tomarctus optatus,"(Matthew, 1924) ",Canidae
"Prototocyon recki Pohle, 1928",Prototocyon recki,"Pohle, 1928",Canidae
"Psalidocyon marianae Wang et al., 1999",Psalidocyon marianae,"Wang et al., 1999",Canidae
"Cynodictis oregonensis (Merriam, 1906)",Cynodictis oregonensis,"(Merriam, 1906) ",Canidae
Speothos pacivorus Lund,Speothos pacivorus,Lund,Canidae
"Speothos venaticus (Lund, 1842)",Speothos venaticus,"(Lund, 1842) ",Canidae
"Mesocyon geringensis (Barbour & Schultz, 1935)",Mesocyon geringensis,"(Barbour & Schultz, 1935) ",Canidae
"Synagodus mansuetus Cope, 1879",Synagodus mansuetus,"Cope, 1879",Canidae
"Theriodictis floridanus Tedford et al., 2009",Theriodictis floridanus,"Tedford et al., 2009",Canidae
"Theriodictis platensis Mercerat, 1891",Theriodictis platensis,"Mercerat, 1891",Canidae
"Theriodictis tarijensis Ameghino, 1902",Theriodictis tarijensis,"Ameghino, 1902",Canidae
"Canis rurestris (Condon, 1896)",Canis rurestris,"(Condon, 1896) ",Canidae
"Tephrocyon hippophagus (Matthew & Cook, 1909)",Tephrocyon hippophagus,"(Matthew & Cook, 1909) ",Canidae
"Tomarctus brevirostris Cope, 1873",Tomarctus brevirostris,"Cope, 1873",Canidae
"Urocyon cinereoargenteus (Schreber, 1775)",Urocyon cinereoargenteus,"(Schreber, 1775) ",Canidae
"Urocyon citrinus Tedford et al., 2009",Urocyon citrinus,"Tedford et al., 2009",Canidae
"Urocyon galushai Tedford et al., 2009",Urocyon galushai,"Tedford et al., 2009",Canidae
"Urocyon littoralis (Baird, 1858)",Urocyon littoralis,"(Baird, 1858) ",Canidae
"Urocyon minicephalus Martin, 1974",Urocyon minicephalus,"Martin, 1974",Canidae
"Urocyon progressus Stevens, 1965",Urocyon progressus,"Stevens, 1965",Canidae
"Urocyon seminolensis Simpson, 1929",Urocyon seminolensis,"Simpson, 1929",Canidae
"Urocyon webbi Tedford et al., 2009",Urocyon webbi,"Tedford et al., 2009",Canidae
"Alopex praeglacialis Kaup, 1829",Alopex praeglacialis,"Kaup, 1829",Canidae
"Fennecus arabicus Desmarest, 1804",Fennecus arabicus,"Desmarest, 1804",Canidae
"Vulpes alopecoides Forsyth Major, 1877",Vulpes alopecoides,"Forsyth Major, 1877",Canidae
"Vulpes angustidens Thenius, 1954",Vulpes angustidens,"Thenius, 1954",Canidae
"Vulpes beihaiensis Qiu & Tedford, 1990",Vulpes beihaiensis,"Qiu & Tedford, 1990",Canidae
"Vulpes bengalensis (Shaw, 1800)",Vulpes bengalensis,"(Shaw, 1800) ",Canidae
"Vulpes cana Blanford, 1877",Vulpes cana,"Blanford, 1877",Canidae
"Vulpes chama (A.Smith, 1833)",Vulpes chama,"(A.Smith, 1833) ",Canidae
"Vulpes chikushanensis Young, 1930",Vulpes chikushanensis,"Young, 1930",Canidae
"Vulpes corsac (Linnaeus, 1768)",Vulpes corsac,"(Linnaeus, 1768) ",Canidae
"Vulpes ferilata Frisch, 1775",Vulpes ferilata,"Frisch, 1775",Canidae
"Vulpes ferrilata Hodgson, 1842",Vulpes ferrilata,"Hodgson, 1842",Canidae
"Vulpes flavescens Gray, 1843",Vulpes flavescens,"Gray, 1843",Canidae
"Vulpes galaticus Ginsburg, 1998",Vulpes galaticus,"Ginsburg, 1998",Canidae
"Vulpes hassani Geraads, 2011",Vulpes hassani,"Geraads, 2011",Canidae
"Vulpes ichnusae Miller, 1907",Vulpes ichnusae,"Miller, 1907",Canidae
"Vulpes indutus Miller, 1907",Vulpes indutus,"Miller, 1907",Canidae
"Vulpes kernensis Tedford et al., 2009",Vulpes kernensis,"Tedford et al., 2009",Canidae
"Vulpes lagopus (Linnaeus, 1758)",Vulpes lagopus,"(Linnaeus, 1758) ",Canidae
"Vulpes macrotis Merriam, 1888",Vulpes macrotis,"Merriam, 1888",Canidae
"Vulpes mathisoni Geraads, Drapeau, Bobe & Fleagle, 2013",Vulpes mathisoni,"Geraads, Drapeau, Bobe & Fleagle, 2013",Canidae
"Vulpes minimus Skjöldebrand, 1777",Vulpes minimus,"Skjöldebrand, 1777",Canidae
"Vulpes pallida (Cretzschmar, 1826)",Vulpes pallida,"(Cretzschmar, 1826) ",Canidae
